representative,n,g,avoidance,certificate_avoidance,status,seconds,stdout
13826745,12,2430373,476571227,476571227,PASS,0.156693,tau=13826745 n=12 g_4=2430373 Av_12=476571227
13826754,11,84291,39832509,39832509,PASS,0.008268,tau=13826754 n=11 g_3=84291 Av_11=39832509
13826754,12,2430366,476571234,476571234,PASS,0.164547,tau=13826754 n=12 g_4=2430366 Av_12=476571234
13827456,11,84292,39832508,39832508,PASS,0.009021,tau=13827456 n=11 g_3=84292 Av_11=39832508
13827456,12,2430450,476571150,476571150,PASS,0.224955,tau=13827456 n=12 g_4=2430450 Av_12=476571150
13827465,11,84374,39832426,39832426,PASS,0.007319,tau=13827465 n=11 g_3=84374 Av_11=39832426
13827465,12,2434474,476567126,476567126,PASS,0.203694,tau=13827465 n=12 g_4=2434474 Av_12=476567126
13827546,11,84374,39832426,39832426,PASS,0.007161,tau=13827546 n=11 g_3=84374 Av_11=39832426
13827546,12,2434469,476567131,476567131,PASS,0.155408,tau=13827546 n=12 g_4=2434469 Av_12=476567131
13827564,11,84286,39832514,39832514,PASS,0.007228,tau=13827564 n=11 g_3=84286 Av_11=39832514
13827564,12,2429854,476571746,476571746,PASS,0.158019,tau=13827564 n=12 g_4=2429854 Av_12=476571746
13827645,11,84288,39832512,39832512,PASS,0.010432,tau=13827645 n=11 g_3=84288 Av_11=39832512
13827645,12,2430061,476571539,476571539,PASS,0.166188,tau=13827645 n=12 g_4=2430061 Av_12=476571539
13827654,11,84192,39832608,39832608,PASS,0.007653,tau=13827654 n=11 g_3=84192 Av_11=39832608
13827654,12,2424612,476576988,476576988,PASS,0.173988,tau=13827654 n=12 g_4=2424612 Av_12=476576988
13842567,11,84377,39832423,39832423,PASS,0.007624,tau=13842567 n=11 g_3=84377 Av_11=39832423
13842567,12,2434761,476566839,476566839,PASS,0.155085,tau=13842567 n=12 g_4=2434761 Av_12=476566839
13842576,11,84384,39832416,39832416,PASS,0.007514,tau=13842576 n=11 g_3=84384 Av_11=39832416
13842576,12,2435483,476566117,476566117,PASS,0.155692,tau=13842576 n=12 g_4=2435483 Av_12=476566117
13842657,11,84384,39832416,39832416,PASS,0.007077,tau=13842657 n=11 g_3=84384 Av_11=39832416
13842657,12,2435460,476566140,476566140,PASS,0.158732,tau=13842657 n=12 g_4=2435460 Av_12=476566140
13842675,11,84392,39832408,39832408,PASS,0.007147,tau=13842675 n=11 g_3=84392 Av_11=39832408
13842675,12,2436283,476565317,476565317,PASS,0.159363,tau=13842675 n=12 g_4=2436283 Av_12=476565317
13842756,11,84392,39832408,39832408,PASS,0.007339,tau=13842756 n=11 g_3=84392 Av_11=39832408
13842756,12,2436283,476565317,476565317,PASS,0.152586,tau=13842756 n=12 g_4=2436283 Av_12=476565317
13842765,11,84381,39832419,39832419,PASS,0.007012,tau=13842765 n=11 g_3=84381 Av_11=39832419
13842765,12,2435170,476566430,476566430,PASS,0.159825,tau=13842765 n=12 g_4=2435170 Av_12=476566430
13845267,11,84390,39832410,39832410,PASS,0.007873,tau=13845267 n=11 g_3=84390 Av_11=39832410
13845267,12,2436085,476565515,476565515,PASS,0.167418,tau=13845267 n=12 g_4=2436085 Av_12=476565515
13845276,11,84393,39832407,39832407,PASS,0.008177,tau=13845276 n=11 g_3=84393 Av_11=39832407
13845276,12,2436423,476565177,476565177,PASS,0.194226,tau=13845276 n=12 g_4=2436423 Av_12=476565177
13845627,11,84383,39832417,39832417,PASS,0.008318,tau=13845627 n=11 g_3=84383 Av_11=39832417
13845627,12,2435435,476566165,476566165,PASS,0.195840,tau=13845627 n=12 g_4=2435435 Av_12=476566165
13845672,11,84198,39832602,39832602,PASS,0.008203,tau=13845672 n=11 g_3=84198 Av_11=39832602
13845672,12,2425272,476576328,476576328,PASS,0.163045,tau=13845672 n=12 g_4=2425272 Av_12=476576328
13845726,11,84480,39832320,39832320,PASS,0.007500,tau=13845726 n=11 g_3=84480 Av_11=39832320
13845726,12,2440890,476560710,476560710,PASS,0.166838,tau=13845726 n=12 g_4=2440890 Av_12=476560710
13845762,11,84296,39832504,39832504,PASS,0.008470,tau=13845762 n=11 g_3=84296 Av_11=39832504
13845762,12,2430886,476570714,476570714,PASS,0.150993,tau=13845762 n=12 g_4=2430886 Av_12=476570714
13846257,11,84562,39832238,39832238,PASS,0.007126,tau=13846257 n=11 g_3=84562 Av_11=39832238
13846257,12,2444849,476556751,476556751,PASS,0.184827,tau=13846257 n=12 g_4=2444849 Av_12=476556751
13846275,11,84570,39832230,39832230,PASS,0.006519,tau=13846275 n=11 g_3=84570 Av_11=39832230
13846275,12,2445654,476555946,476555946,PASS,0.149061,tau=13846275 n=12 g_4=2445654 Av_12=476555946
13846527,11,84396,39832404,39832404,PASS,0.012563,tau=13846527 n=11 g_3=84396 Av_11=39832404
13846527,12,2436723,476564877,476564877,PASS,0.175865,tau=13846527 n=12 g_4=2436723 Av_12=476564877
13846572,11,84294,39832506,39832506,PASS,0.007147,tau=13846572 n=11 g_3=84294 Av_11=39832506
13846572,12,2430675,476570925,476570925,PASS,0.185397,tau=13846572 n=12 g_4=2430675 Av_12=476570925
13846725,11,84481,39832319,39832319,PASS,0.008876,tau=13846725 n=11 g_3=84481 Av_11=39832319
13846725,12,2440964,476560636,476560636,PASS,0.154566,tau=13846725 n=12 g_4=2440964 Av_12=476560636
13846752,11,84380,39832420,39832420,PASS,0.010285,tau=13846752 n=11 g_3=84380 Av_11=39832420
13846752,12,2435073,476566527,476566527,PASS,0.174888,tau=13846752 n=12 g_4=2435073 Av_12=476566527
13847256,11,84486,39832314,39832314,PASS,0.007942,tau=13847256 n=11 g_3=84486 Av_11=39832314
13847256,12,2441442,476560158,476560158,PASS,0.151987,tau=13847256 n=12 g_4=2441442 Av_12=476560158
13847265,11,84474,39832326,39832326,PASS,0.007679,tau=13847265 n=11 g_3=84474 Av_11=39832326
13847265,12,2440273,476561327,476561327,PASS,0.151762,tau=13847265 n=12 g_4=2440273 Av_12=476561327
13847526,11,84564,39832236,39832236,PASS,0.007560,tau=13847526 n=11 g_3=84564 Av_11=39832236
13847526,12,2445077,476556523,476556523,PASS,0.183967,tau=13847526 n=12 g_4=2445077 Av_12=476556523
13847562,11,84378,39832422,39832422,PASS,0.007971,tau=13847562 n=11 g_3=84378 Av_11=39832422
13847562,12,2434863,476566737,476566737,PASS,0.159600,tau=13847562 n=12 g_4=2434863 Av_12=476566737
13847625,11,84482,39832318,39832318,PASS,0.007118,tau=13847625 n=11 g_3=84482 Av_11=39832318
13847625,12,2441068,476560532,476560532,PASS,0.162747,tau=13847625 n=12 g_4=2441068 Av_12=476560532
13847652,11,84293,39832507,39832507,PASS,0.008980,tau=13847652 n=11 g_3=84293 Av_11=39832507
13847652,12,2430561,476571039,476571039,PASS,0.163384,tau=13847652 n=12 g_4=2430561 Av_12=476571039
13852467,11,84472,39832328,39832328,PASS,0.018450,tau=13852467 n=11 g_3=84472 Av_11=39832328
13852467,12,2440053,476561547,476561547,PASS,0.147345,tau=13852467 n=12 g_4=2440053 Av_12=476561547
13852476,11,84474,39832326,39832326,PASS,0.009799,tau=13852476 n=11 g_3=84474 Av_11=39832326
13852476,12,2440249,476561351,476561351,PASS,0.150216,tau=13852476 n=12 g_4=2440249 Av_12=476561351
13852647,11,84562,39832238,39832238,PASS,0.008213,tau=13852647 n=11 g_3=84562 Av_11=39832238
13852647,12,2444837,476556763,476556763,PASS,0.203486,tau=13852647 n=12 g_4=2444837 Av_12=476556763
13852674,11,84486,39832314,39832314,PASS,0.007882,tau=13852674 n=11 g_3=84486 Av_11=39832314
13852674,12,2441427,476560173,476560173,PASS,0.203463,tau=13852674 n=12 g_4=2441427 Av_12=476560173
13852746,11,84562,39832238,39832238,PASS,0.006760,tau=13852746 n=11 g_3=84562 Av_11=39832238
13852746,12,2444836,476556764,476556764,PASS,0.163598,tau=13852746 n=12 g_4=2444836 Av_12=476556764
13852764,11,84487,39832313,39832313,PASS,0.006830,tau=13852764 n=11 g_3=84487 Av_11=39832313
13852764,12,2441505,476560095,476560095,PASS,0.151232,tau=13852764 n=12 g_4=2441505 Av_12=476560095
13854267,11,84393,39832407,39832407,PASS,0.007310,tau=13854267 n=11 g_3=84393 Av_11=39832407
13854267,12,2436375,476565225,476565225,PASS,0.148681,tau=13854267 n=12 g_4=2436375 Av_12=476565225
13854276,11,84393,39832407,39832407,PASS,0.008123,tau=13854276 n=11 g_3=84393 Av_11=39832407
13854276,12,2436373,476565227,476565227,PASS,0.151110,tau=13854276 n=12 g_4=2436373 Av_12=476565227
13854627,11,84396,39832404,39832404,PASS,0.007313,tau=13854627 n=11 g_3=84396 Av_11=39832404
13854627,12,2436723,476564877,476564877,PASS,0.181953,tau=13854627 n=12 g_4=2436723 Av_12=476564877
13854672,11,84296,39832504,39832504,PASS,0.007489,tau=13854672 n=11 g_3=84296 Av_11=39832504
13854672,12,2430881,476570719,476570719,PASS,0.180840,tau=13854672 n=12 g_4=2430881 Av_12=476570719
13854726,11,84482,39832318,39832318,PASS,0.009223,tau=13854726 n=11 g_3=84482 Av_11=39832318
13854726,12,2441081,476560519,476560519,PASS,0.148572,tau=13854726 n=12 g_4=2441081 Av_12=476560519
13854762,11,84297,39832503,39832503,PASS,0.007222,tau=13854762 n=11 g_3=84297 Av_11=39832503
13854762,12,2430953,476570647,476570647,PASS,0.172414,tau=13854762 n=12 g_4=2430953 Av_12=476570647
13856247,11,84482,39832318,39832318,PASS,0.006891,tau=13856247 n=11 g_3=84482 Av_11=39832318
13856247,12,2441073,476560527,476560527,PASS,0.160650,tau=13856247 n=12 g_4=2441073 Av_12=476560527
13856274,11,84479,39832321,39832321,PASS,0.006653,tau=13856274 n=11 g_3=84479 Av_11=39832321
13856274,12,2440793,476560807,476560807,PASS,0.187228,tau=13856274 n=12 g_4=2440793 Av_12=476560807
13856427,11,84396,39832404,39832404,PASS,0.007748,tau=13856427 n=11 g_3=84396 Av_11=39832404
13856427,12,2436717,476564883,476564883,PASS,0.150065,tau=13856427 n=12 g_4=2436717 Av_12=476564883
13856472,11,84384,39832416,39832416,PASS,0.011308,tau=13856472 n=11 g_3=84384 Av_11=39832416
13856472,12,2435462,476566138,476566138,PASS,0.177914,tau=13856472 n=12 g_4=2435462 Av_12=476566138
13856724,11,84292,39832508,39832508,PASS,0.009838,tau=13856724 n=11 g_3=84292 Av_11=39832508
13856724,12,2430499,476571101,476571101,PASS,0.151806,tau=13856724 n=12 g_4=2430499 Av_12=476571101
13856742,11,84205,39832595,39832595,PASS,0.010151,tau=13856742 n=11 g_3=84205 Av_11=39832595
13856742,12,2425974,476575626,476575626,PASS,0.159549,tau=13856742 n=12 g_4=2425974 Av_12=476575626
13857246,11,84559,39832241,39832241,PASS,0.007270,tau=13857246 n=11 g_3=84559 Av_11=39832241
13857246,12,2444561,476557039,476557039,PASS,0.149652,tau=13857246 n=12 g_4=2444561 Av_12=476557039
13857264,11,84564,39832236,39832236,PASS,0.007911,tau=13857264 n=11 g_3=84564 Av_11=39832236
13857264,12,2445042,476556558,476556558,PASS,0.148873,tau=13857264 n=12 g_4=2445042 Av_12=476556558
13857426,11,84562,39832238,39832238,PASS,0.007125,tau=13857426 n=11 g_3=84562 Av_11=39832238
13857426,12,2444840,476556760,476556760,PASS,0.146872,tau=13857426 n=12 g_4=2444840 Av_12=476556760
13857462,11,84378,39832422,39832422,PASS,0.007288,tau=13857462 n=11 g_3=84378 Av_11=39832422
13857462,12,2434828,476566772,476566772,PASS,0.155427,tau=13857462 n=12 g_4=2434828 Av_12=476566772
13857624,11,84386,39832414,39832414,PASS,0.007177,tau=13857624 n=11 g_3=84386 Av_11=39832414
13857624,12,2435671,476565929,476565929,PASS,0.153297,tau=13857624 n=12 g_4=2435671 Av_12=476565929
13857642,11,84372,39832428,39832428,PASS,0.007605,tau=13857642 n=11 g_3=84372 Av_11=39832428
13857642,12,2434264,476567336,476567336,PASS,0.154767,tau=13857642 n=12 g_4=2434264 Av_12=476567336
13862457,11,84482,39832318,39832318,PASS,0.006697,tau=13862457 n=11 g_3=84482 Av_11=39832318
13862457,12,2441046,476560554,476560554,PASS,0.159403,tau=13862457 n=12 g_4=2441046 Av_12=476560554
13862475,11,84568,39832232,39832232,PASS,0.007126,tau=13862475 n=11 g_3=84568 Av_11=39832232
13862475,12,2445432,476556168,476556168,PASS,0.161204,tau=13862475 n=12 g_4=2445432 Av_12=476556168
13862547,11,84481,39832319,39832319,PASS,0.007274,tau=13862547 n=11 g_3=84481 Av_11=39832319
13862547,12,2440943,476560657,476560657,PASS,0.183545,tau=13862547 n=12 g_4=2440943 Av_12=476560657
13862574,11,84570,39832230,39832230,PASS,0.010522,tau=13862574 n=11 g_3=84570 Av_11=39832230
13862574,12,2445666,476555934,476555934,PASS,0.159826,tau=13862574 n=12 g_4=2445666 Av_12=476555934
13862745,11,84477,39832323,39832323,PASS,0.006862,tau=13862745 n=11 g_3=84477 Av_11=39832323
13862745,12,2440540,476561060,476561060,PASS,0.154702,tau=13862745 n=12 g_4=2440540 Av_12=476561060
13862754,11,84478,39832322,39832322,PASS,0.007826,tau=13862754 n=11 g_3=84478 Av_11=39832322
13862754,12,2440649,476560951,476560951,PASS,0.187062,tau=13862754 n=12 g_4=2440649 Av_12=476560951
13864257,11,84564,39832236,39832236,PASS,0.007586,tau=13864257 n=11 g_3=84564 Av_11=39832236
13864257,12,2445061,476556539,476556539,PASS,0.175486,tau=13864257 n=12 g_4=2445061 Av_12=476556539
13864275,11,84564,39832236,39832236,PASS,0.007159,tau=13864275 n=11 g_3=84564 Av_11=39832236
13864275,12,2445042,476556558,476556558,PASS,0.169407,tau=13864275 n=12 g_4=2445042 Av_12=476556558
13864527,11,84396,39832404,39832404,PASS,0.007227,tau=13864527 n=11 g_3=84396 Av_11=39832404
13864527,12,2436717,476564883,476564883,PASS,0.175537,tau=13864527 n=12 g_4=2436717 Av_12=476564883
13864572,11,84382,39832418,39832418,PASS,0.007236,tau=13864572 n=11 g_3=84382 Av_11=39832418
13864572,12,2435281,476566319,476566319,PASS,0.156029,tau=13864572 n=12 g_4=2435281 Av_12=476566319
13864725,11,84562,39832238,39832238,PASS,0.008566,tau=13864725 n=11 g_3=84562 Av_11=39832238
13864725,12,2444844,476556756,476556756,PASS,0.173420,tau=13864725 n=12 g_4=2444844 Av_12=476556756
13864752,11,84378,39832422,39832422,PASS,0.007568,tau=13864752 n=11 g_3=84378 Av_11=39832422
13864752,12,2434840,476566760,476566760,PASS,0.154251,tau=13864752 n=12 g_4=2434840 Av_12=476566760
13865247,11,84480,39832320,39832320,PASS,0.006874,tau=13865247 n=11 g_3=84480 Av_11=39832320
13865247,12,2440880,476560720,476560720,PASS,0.214519,tau=13865247 n=12 g_4=2440880 Av_12=476560720
13865274,11,84492,39832308,39832308,PASS,0.010227,tau=13865274 n=11 g_3=84492 Av_11=39832308
13865274,12,2442044,476559556,476559556,PASS,0.183854,tau=13865274 n=12 g_4=2442044 Av_12=476559556
13865427,11,84383,39832417,39832417,PASS,0.008100,tau=13865427 n=11 g_3=84383 Av_11=39832417
13865427,12,2435407,476566193,476566193,PASS,0.180265,tau=13865427 n=12 g_4=2435407 Av_12=476566193
13865472,11,84295,39832505,39832505,PASS,0.007116,tau=13865472 n=11 g_3=84295 Av_11=39832505
13865472,12,2430792,476570808,476570808,PASS,0.155741,tau=13865472 n=12 g_4=2430792 Av_12=476570808
13865724,11,84388,39832412,39832412,PASS,0.007942,tau=13865724 n=11 g_3=84388 Av_11=39832412
13865724,12,2435894,476565706,476565706,PASS,0.152597,tau=13865724 n=12 g_4=2435894 Av_12=476565706
13865742,11,84375,39832425,39832425,PASS,0.008458,tau=13865742 n=11 g_3=84375 Av_11=39832425
13865742,12,2434575,476567025,476567025,PASS,0.151755,tau=13865742 n=12 g_4=2434575 Av_12=476567025
13867245,11,84301,39832499,39832499,PASS,0.009823,tau=13867245 n=11 g_3=84301 Av_11=39832499
13867245,12,2431412,476570188,476570188,PASS,0.158818,tau=13867245 n=12 g_4=2431412 Av_12=476570188
13867254,11,84303,39832497,39832497,PASS,0.006882,tau=13867254 n=11 g_3=84303 Av_11=39832497
13867254,12,2431618,476569982,476569982,PASS,0.156769,tau=13867254 n=12 g_4=2431618 Av_12=476569982
13867425,11,84384,39832416,39832416,PASS,0.007078,tau=13867425 n=11 g_3=84384 Av_11=39832416
13867425,12,2435496,476566104,476566104,PASS,0.172769,tau=13867425 n=12 g_4=2435496 Av_12=476566104
13867452,11,84201,39832599,39832599,PASS,0.007034,tau=13867452 n=11 g_3=84201 Av_11=39832599
13867452,12,2425557,476576043,476576043,PASS,0.176876,tau=13867452 n=12 g_4=2425557 Av_12=476576043
13867524,11,84294,39832506,39832506,PASS,0.012932,tau=13867524 n=11 g_3=84294 Av_11=39832506
13867524,12,2430688,476570912,476570912,PASS,0.160296,tau=13867524 n=12 g_4=2430688 Av_12=476570912
13867542,11,84200,39832600,39832600,PASS,0.007127,tau=13867542 n=11 g_3=84200 Av_11=39832600
13867542,12,2425456,476576144,476576144,PASS,0.186162,tau=13867542 n=12 g_4=2425456 Av_12=476576144
13872456,11,84299,39832501,39832501,PASS,0.007340,tau=13872456 n=11 g_3=84299 Av_11=39832501
13872456,12,2431195,476570405,476570405,PASS,0.188560,tau=13872456 n=12 g_4=2431195 Av_12=476570405
13872465,11,84306,39832494,39832494,PASS,0.010542,tau=13872465 n=11 g_3=84306 Av_11=39832494
13872465,12,2431918,476569682,476569682,PASS,0.203510,tau=13872465 n=12 g_4=2431918 Av_12=476569682
13872546,11,84306,39832494,39832494,PASS,0.007232,tau=13872546 n=11 g_3=84306 Av_11=39832494
13872546,12,2431887,476569713,476569713,PASS,0.206285,tau=13872546 n=12 g_4=2431887 Av_12=476569713
13872564,11,84306,39832494,39832494,PASS,0.011359,tau=13872564 n=11 g_3=84306 Av_11=39832494
13872564,12,2431897,476569703,476569703,PASS,0.219872,tau=13872564 n=12 g_4=2431897 Av_12=476569703
13872645,11,84306,39832494,39832494,PASS,0.010308,tau=13872645 n=11 g_3=84306 Av_11=39832494
13872645,12,2431879,476569721,476569721,PASS,0.189688,tau=13872645 n=12 g_4=2431879 Av_12=476569721
13872654,11,84293,39832507,39832507,PASS,0.008303,tau=13872654 n=11 g_3=84293 Av_11=39832507
13872654,12,2430571,476571029,476571029,PASS,0.184956,tau=13872654 n=12 g_4=2430571 Av_12=476571029
13874256,11,84390,39832410,39832410,PASS,0.007103,tau=13874256 n=11 g_3=84390 Av_11=39832410
13874256,12,2436078,476565522,476565522,PASS,0.173356,tau=13874256 n=12 g_4=2436078 Av_12=476565522
13874265,11,84394,39832406,39832406,PASS,0.010606,tau=13874265 n=11 g_3=84394 Av_11=39832406
13874265,12,2436484,476565116,476565116,PASS,0.163035,tau=13874265 n=12 g_4=2436484 Av_12=476565116
13874526,11,84393,39832407,39832407,PASS,0.007486,tau=13874526 n=11 g_3=84393 Av_11=39832407
13874526,12,2436397,476565203,476565203,PASS,0.158044,tau=13874526 n=12 g_4=2436397 Av_12=476565203
13874562,11,84204,39832596,39832596,PASS,0.010767,tau=13874562 n=11 g_3=84204 Av_11=39832596
13874562,12,2425879,476575721,476575721,PASS,0.177250,tau=13874562 n=12 g_4=2425879 Av_12=476575721
13874625,11,84472,39832328,39832328,PASS,0.007194,tau=13874625 n=11 g_3=84472 Av_11=39832328
13874625,12,2440062,476561538,476561538,PASS,0.158250,tau=13874625 n=12 g_4=2440062 Av_12=476561538
13874652,11,84296,39832504,39832504,PASS,0.007428,tau=13874652 n=11 g_3=84296 Av_11=39832504
13874652,12,2430845,476570755,476570755,PASS,0.150921,tau=13874652 n=12 g_4=2430845 Av_12=476570755
13875246,11,84475,39832325,39832325,PASS,0.007666,tau=13875246 n=11 g_3=84475 Av_11=39832325
13875246,12,2440359,476561241,476561241,PASS,0.163786,tau=13875246 n=12 g_4=2440359 Av_12=476561241
13875264,11,84472,39832328,39832328,PASS,0.011380,tau=13875264 n=11 g_3=84472 Av_11=39832328
13875264,12,2440042,476561558,476561558,PASS,0.154662,tau=13875264 n=12 g_4=2440042 Av_12=476561558
13875426,11,84390,39832410,39832410,PASS,0.010118,tau=13875426 n=11 g_3=84390 Av_11=39832410
13875426,12,2436073,476565527,476565527,PASS,0.156492,tau=13875426 n=12 g_4=2436073 Av_12=476565527
13875462,11,84294,39832506,39832506,PASS,0.007101,tau=13875462 n=11 g_3=84294 Av_11=39832506
13875462,12,2430659,476570941,476570941,PASS,0.160043,tau=13875462 n=12 g_4=2430659 Av_12=476570941
13875624,11,84294,39832506,39832506,PASS,0.007637,tau=13875624 n=11 g_3=84294 Av_11=39832506
13875624,12,2430672,476570928,476570928,PASS,0.165267,tau=13875624 n=12 g_4=2430672 Av_12=476570928
13875642,11,84200,39832600,39832600,PASS,0.007145,tau=13875642 n=11 g_3=84200 Av_11=39832600
13875642,12,2425460,476576140,476576140,PASS,0.154233,tau=13875642 n=12 g_4=2425460 Av_12=476576140
13876245,11,84299,39832501,39832501,PASS,0.007119,tau=13876245 n=11 g_3=84299 Av_11=39832501
13876245,12,2431204,476570396,476570396,PASS,0.166523,tau=13876245 n=12 g_4=2431204 Av_12=476570396
13876254,11,84297,39832503,39832503,PASS,0.007408,tau=13876254 n=11 g_3=84297 Av_11=39832503
13876254,12,2430982,476570618,476570618,PASS,0.165737,tau=13876254 n=12 g_4=2430982 Av_12=476570618
13876425,11,84377,39832423,39832423,PASS,0.007107,tau=13876425 n=11 g_3=84377 Av_11=39832423
13876425,12,2434772,476566828,476566828,PASS,0.191374,tau=13876425 n=12 g_4=2434772 Av_12=476566828
13876452,11,84199,39832601,39832601,PASS,0.007337,tau=13876452 n=11 g_3=84199 Av_11=39832601
13876452,12,2425358,476576242,476576242,PASS,0.198158,tau=13876452 n=12 g_4=2425358 Av_12=476576242
13876524,11,84286,39832514,39832514,PASS,0.007766,tau=13876524 n=11 g_3=84286 Av_11=39832514
13876524,12,2429846,476571754,476571754,PASS,0.211280,tau=13876524 n=12 g_4=2429846 Av_12=476571754
13876542,11,84104,39832696,39832696,PASS,0.007559,tau=13876542 n=11 g_3=84104 Av_11=39832696
13876542,12,2420018,476581582,476581582,PASS,0.177064,tau=13876542 n=12 g_4=2420018 Av_12=476581582
14325786,11,84011,39832789,39832789,PASS,0.007255,tau=14325786 n=11 g_3=84011 Av_11=39832789
14325786,12,2414886,476586714,476586714,PASS,0.185266,tau=14325786 n=12 g_4=2414886 Av_12=476586714
14326785,11,84019,39832781,39832781,PASS,0.008316,tau=14326785 n=11 g_3=84019 Av_11=39832781
14326785,12,2415707,476585893,476585893,PASS,0.152017,tau=14326785 n=12 g_4=2415707 Av_12=476585893
14326857,11,84099,39832701,39832701,PASS,0.007855,tau=14326857 n=11 g_3=84099 Av_11=39832701
14326857,12,2419484,476582116,476582116,PASS,0.192613,tau=14326857 n=12 g_4=2419484 Av_12=476582116
14326875,11,84101,39832699,39832699,PASS,0.006571,tau=14326875 n=11 g_3=84101 Av_11=39832699
14326875,12,2419688,476581912,476581912,PASS,0.149192,tau=14326875 n=12 g_4=2419688 Av_12=476581912
14327658,11,83921,39832879,39832879,PASS,0.009824,tau=14327658 n=11 g_3=83921 Av_11=39832879
14327658,12,2410058,476591542,476591542,PASS,0.190893,tau=14327658 n=12 g_4=2410058 Av_12=476591542
14327685,11,84101,39832699,39832699,PASS,0.009106,tau=14327685 n=11 g_3=84101 Av_11=39832699
14327685,12,2419693,476581907,476581907,PASS,0.146345,tau=14327685 n=12 g_4=2419693 Av_12=476581907
14327856,11,84018,39832782,39832782,PASS,0.007049,tau=14327856 n=11 g_3=84018 Av_11=39832782
14327856,12,2415598,476586002,476586002,PASS,0.148190,tau=14327856 n=12 g_4=2415598 Av_12=476586002
14327865,11,84017,39832783,39832783,PASS,0.010171,tau=14327865 n=11 g_3=84017 Av_11=39832783
14327865,12,2415500,476586100,476586100,PASS,0.150500,tau=14327865 n=12 g_4=2415500 Av_12=476586100
14328675,11,84015,39832785,39832785,PASS,0.010689,tau=14328675 n=11 g_3=84015 Av_11=39832785
14328675,12,2415293,476586307,476586307,PASS,0.171514,tau=14328675 n=12 g_4=2415293 Av_12=476586307
14352786,11,84198,39832602,39832602,PASS,0.006992,tau=14352786 n=11 g_3=84198 Av_11=39832602
14352786,12,2425214,476576386,476576386,PASS,0.152208,tau=14352786 n=12 g_4=2425214 Av_12=476576386
14356782,11,84106,39832694,39832694,PASS,0.006889,tau=14356782 n=11 g_3=84106 Av_11=39832694
14356782,12,2420222,476581378,476581378,PASS,0.200951,tau=14356782 n=12 g_4=2420222 Av_12=476581378
14356827,11,84295,39832505,39832505,PASS,0.006920,tau=14356827 n=11 g_3=84295 Av_11=39832505
14356827,12,2430805,476570795,476570795,PASS,0.146193,tau=14356827 n=12 g_4=2430805 Av_12=476570795
14356872,11,84113,39832687,39832687,PASS,0.007674,tau=14356872 n=11 g_3=84113 Av_11=39832687
14356872,12,2420973,476580627,476580627,PASS,0.166471,tau=14356872 n=12 g_4=2420973 Av_12=476580627
14357286,11,84388,39832412,39832412,PASS,0.007717,tau=14357286 n=11 g_3=84388 Av_11=39832412
14357286,12,2435846,476565754,476565754,PASS,0.154497,tau=14357286 n=12 g_4=2435846 Av_12=476565754
14357628,11,84206,39832594,39832594,PASS,0.009159,tau=14357628 n=11 g_3=84206 Av_11=39832594
14357628,12,2426058,476575542,476575542,PASS,0.164497,tau=14357628 n=12 g_4=2426058 Av_12=476575542
14357682,11,84112,39832688,39832688,PASS,0.009889,tau=14357682 n=11 g_3=84112 Av_11=39832688
14357682,12,2420846,476580754,476580754,PASS,0.160409,tau=14357682 n=12 g_4=2420846 Av_12=476580754
14357826,11,84303,39832497,39832497,PASS,0.008403,tau=14357826 n=11 g_3=84303 Av_11=39832497
14357826,12,2431594,476570006,476570006,PASS,0.156523,tau=14357826 n=12 g_4=2431594 Av_12=476570006
14357862,11,84202,39832598,39832598,PASS,0.006616,tau=14357862 n=11 g_3=84202 Av_11=39832598
14357862,12,2425688,476575912,476575912,PASS,0.177288,tau=14357862 n=12 g_4=2425688 Av_12=476575912
14358267,11,84306,39832494,39832494,PASS,0.007350,tau=14358267 n=11 g_3=84306 Av_11=39832494
14358267,12,2431888,476569712,476569712,PASS,0.194718,tau=14358267 n=12 g_4=2431888 Av_12=476569712
14358276,11,84300,39832500,39832500,PASS,0.006824,tau=14358276 n=11 g_3=84300 Av_11=39832500
14358276,12,2431254,476570346,476570346,PASS,0.236359,tau=14358276 n=12 g_4=2431254 Av_12=476570346
14358627,11,84384,39832416,39832416,PASS,0.007349,tau=14358627 n=11 g_3=84384 Av_11=39832416
14358627,12,2435505,476566095,476566095,PASS,0.152162,tau=14358627 n=12 g_4=2435505 Av_12=476566095
14358672,11,84202,39832598,39832598,PASS,0.010503,tau=14358672 n=11 g_3=84202 Av_11=39832598
14358672,12,2425674,476575926,476575926,PASS,0.197148,tau=14358672 n=12 g_4=2425674 Av_12=476575926
14358726,11,84301,39832499,39832499,PASS,0.008522,tau=14358726 n=11 g_3=84301 Av_11=39832499
14358726,12,2431441,476570159,476570159,PASS,0.190462,tau=14358726 n=12 g_4=2431441 Av_12=476570159
14358762,11,84113,39832687,39832687,PASS,0.009403,tau=14358762 n=11 g_3=84113 Av_11=39832687
14358762,12,2420991,476580609,476580609,PASS,0.196554,tau=14358762 n=12 g_4=2420991 Av_12=476580609
14362785,11,84387,39832413,39832413,PASS,0.007137,tau=14362785 n=11 g_3=84387 Av_11=39832413
14362785,12,2435670,476565930,476565930,PASS,0.217122,tau=14362785 n=12 g_4=2435670 Av_12=476565930
14362857,11,84466,39832334,39832334,PASS,0.007386,tau=14362857 n=11 g_3=84466 Av_11=39832334
